iter	Passed	Remaining
277	2989	7763
278	2999	7751
279	3010	7741
280	3020	7728
281	3030	7715
282	3041	7705
283	3050	7691
284	3060	7678
285	3070	7664
286	3079	7651
287	3089	7638
288	3098	7623
289	3110	7614
290	3119	7601
291	3129	7586
292	3138	7573
293	3149	7563
294	3160	7552
295	3169	7538
296	3178	7524
297	3188	7510
298	3198	7499
299	3208	7487
300	3218	7474
301	3229	7463
302	3238	7450
303	3247	7436
304	3272	7457
305	3282	7444
306	3292	7433
307	3303	7421
308	3313	7408
309	3323	7397
310	3333	7386
311	3344	7374
312	3355	7364
313	3365	7351
314	3375	7340
315	3385	7329
316	3395	7315
317	3404	7302
318	3413	7288
319	3423	7274
320	3433	7263
321	3443	7250
322	3453	7237
323	3462	7224
324	3472	7213
325	3483	7201
326	3493	7189
327	3502	7176
328	3518	7175
329	3528	7164
330	3539	7153
331	3549	7140
332	3559	7129
333	3568	7116
334	3579	7105
335	3589	7093
336	3599	7080
337	3609	7069
338	3618	7055
339	3628	7043
340	3638	7031
341	3647	7018
342	3657	7006
343	3667	6993
344	3677	6981
345	3687	6970
346	3698	6960
347	3708	6948
348	3719	6937
349	3729	6925
350	3739	6913
351	3749	6902
352	3760	6892
353	3771	6882
354	3782	6872
355	3792	6861
356	3803	6850
357	3813	6838
358	3822	6825
359	3833	6814
360	3842	6802
361	3853	6791
362	3864	6781
363	3875	6771
364	3885	6759
365	3895	6748
366	3905	6736
367	3916	6725
368	3926	6714
369	3936	6703
370	3946	6691
371	3959	6683
372	3970	6674
373	3980	6662
374	3990	6651
375	4000	6639
376	4010	6627
377	4020	6615
378	4030	6604
379	4041	6593
380	4051	6582
381	4062	6571
382	4073	6562
383	4083	6550
384	4093	6538
385	4102	6526
386	4112	6514
387	4123	6503
388	4133	6492
389	4143	6481
390	4153	6469
391	4163	6457
392	4174	6448
393	4185	6437
394	4205	6441
395	4216	6431
396	4225	6418
397	4236	6407
398	4247	6397
399	4257	6385
400	4268	6376
401	4279	6365
402	4289	6354
403	4299	6342
404	4310	6332
405	4319	6320
406	4329	6308
407	4339	6297
408	4349	6285
409	4360	6275
410	4371	6264
411	4381	6253
412	4390	6240
413	4400	6229
414	4410	6216
415	4420	6205
416	4429	6192
417	4438	6180
418	4448	6168
419	4458	6157
420	4468	6145
421	4478	6134
422	4491	6126
423	4501	6114
424	4511	6103
425	4530	6103
426	4540	6093
427	4550	6081
428	4560	6070
429	4570	6057
430	4578	6044
431	4587	6032
432	4599	6022
433	4609	6011
434	4618	5998
435	4626	5985
436	4635	5972
437	4645	5960
438	4655	5949
439	4667	5940
440	4676	5928
441	4685	5915
442	4695	5904
443	4706	5893
444	4715	5881
445	4724	5868
446	4733	5856
447	4743	5844
448	4752	5832
449	4762	5821
450	4772	5809
451	4781	5796
452	4790	5784
453	4799	5772
454	4810	5762
455	4819	5749
456	4829	5738
457	4838	5726
458	4848	5714
459	4858	5703
460	4867	5690
461	4876	5678
462	4885	5666
463	4895	5654
464	4904	5643
465	4915	5632
466	4925	5621
467	4935	5610
468	4945	5599
469	4955	5588
470	4964	5575
471	4974	5564
472	4986	5555
473	4996	5544
474	5006	5533
475	5017	5523
476	5028	5513
477	5039	5503
478	5051	5494
479	5061	5483
480	5074	5474
481	5085	5465
482	5096	5454
483	5106	5444
484	5115	5431
485	5126	5421
486	5135	5410
487	5147	5400
488	5157	5389
489	5168	5379
490	5179	5369
491	5189	5358
492	5201	5349
493	5212	5339
494	5224	5330
495	5237	5322
496	5249	5312
497	5263	5305
498	5279	5300
499	5289	5289
500	5303	5282
501	5314	5272
502	5325	5261
503	5335	5251
504	5346	5240
505	5356	5229
506	5367	5218
507	5377	5208
508	5386	5196
509	5396	5185
510	5405	5172
511	5414	5160
512	5423	5148
513	5432	5136
514	5443	5126
515	5452	5114
516	5463	5103
517	5471	5091
518	5480	5079
519	5489	5067
520	5498	5055
521	5507	5043
522	5517	5031
523	5526	5020
524	5536	5009
525	5547	4999
526	5558	4988
527	5567	4977
528	5577	4965
529	5586	4954
530	5595	4942
531	5605	4930
532	5614	4919
533	5624	4908
534	5634	4897
535	5642	4884
536	5653	4874
537	5662	4862
538	5671	4851
539	5681	4839
540	5691	4829
541	5702	4818
542	5713	4808
543	5722	4796
544	5733	4786
545	5742	4775
546	5754	4765
547	5765	4755
548	5775	4744
549	5784	4732
550	5793	4721
551	5803	4709
552	5812	4698
553	5821	4686
554	5831	4675
555	5840	4664
556	5850	4652
557	5861	4642
558	5873	4633
559	5883	4622
560	5895	4613
561	5905	4602
562	5917	4592
563	5929	4583
564	5939	4572
565	5950	4562
566	5961	4552
567	5972	4542
568	5983	4532
569	5993	4521
570	6003	4510
571	6013	4499
572	6023	4488
573	6033	4478
574	6044	4467
575	6055	4457
576	6065	4446
577	6075	4436
578	6085	4424
579	6097	4415
580	6109	4406
581	6122	4397
582	6135	4388
583	6149	4380
584	6160	4370
585	6169	4358
586	6180	4348
587	6189	4337
588	6198	4325
589	6208	4314
590	6217	4302
591	6227	4291
592	6236	4280
593	6247	4270
594	6256	4258
595	6267	4248
596	6277	4237
597	6287	4226
598	6297	4215
599	6306	4204
600	6315	4192
601	6324	4181
602	6334	4170
603	6344	4159
604	6354	4148
605	6364	4138
606	6376	4128
607	6387	4118
608	6397	4107
609	6407	4096
610	6417	4086
611	6426	4074
612	6437	4064
613	6446	4052
614	6456	4041
615	6465	4030
616	6474	4019
617	6484	4007
618	6493	3996
619	6502	3985
620	6512	3974
621	6521	3962
622	6529	3951
623	6539	3940
624	6548	3929
625	6558	3918
626	6568	3907
627	6577	3895
628	6588	3885
629	6597	3874
630	6606	3863
631	6616	3852
632	6625	3841
633	6635	3830
634	6645	3819
635	6654	3808
636	6664	3797
637	6674	3787
638	6684	3776
639	6695	3766
640	6704	3754
641	6714	3743
642	6723	3732
643	6732	3721
644	6742	3710
645	6750	3699
646	6760	3688
647	6769	3677
648	6779	3666
649	6789	3655
650	6799	3645
651	6809	3634
652	6818	3623
653	6827	3612
654	6838	3601
655	6847	3590
656	6856	3579
657	6865	3568
658	6873	3556
659	6882	3545
660	6891	3534
661	6900	3523
662	6912	3513
663	6921	3502
664	6930	3491
665	6940	3480
666	6950	3470
667	6960	3459
668	6968	3448
669	6978	3437
670	6987	3426
671	6997	3415
672	7006	3404
673	7017	3394
674	7026	3383
675	7035	3372
676	7045	3361
677	7053	3350
678	7063	3339
679	7073	3328
680	7082	3317
681	7092	3306
682	7100	3295
683	7110	3285
684	7121	3275
685	7131	3264
686	7140	3253
687	7150	3242
688	7159	3231
689	7167	3220
690	7177	3209
691	7186	3198
692	7195	3187
693	7206	3177
694	7217	3167
695	7227	3156
696	7236	3145
697	7246	3135
698	7256	3124
699	7264	3113
700	7274	3102
701	7282	3091
702	7292	3080
703	7301	3069
704	7311	3059
705	7322	3049
706	7331	3038
707	7341	3027
708	7351	3017
709	7361	3006
710	7372	2996
711	7381	2985
712	7392	2975
713	7402	2965
714	7412	2954
715	7421	2943
716	7432	2933
717	7442	2923
718	7452	2912
719	7461	2901
720	7471	2891
721	7481	2880
722	7489	2869
723	7499	2858
724	7509	2848
725	7518	2837
726	7528	2826
727	7539	2816
728	7549	2806
729	7560	2796
730	7569	2785
731	7578	2774
732	7588	2764
733	7597	2753
734	7608	2743
735	7618	2732
736	7627	2722
737	7637	2711
738	7648	2701
739	7657	2690
740	7666	2679
741	7675	2668
742	7684	2657
743	7692	2646
744	7701	2636
745	7711	2625
746	7720	2614
747	7729	2604
748	7739	2593
749	7749	2583
750	7758	2572
751	7767	2561
752	7776	2550
753	7785	2540
754	7794	2529
755	7805	2519
756	7814	2508
757	7823	2497
758	7832	2487
759	7842	2476
760	7852	2466
761	7862	2455
762	7873	2445
763	7883	2435
764	7893	2424
765	7905	2414
766	7915	2404
767	7924	2393
768	7932	2382
769	7942	2372
770	7951	2361
771	7961	2351
772	7972	2341
773	7981	2330
774	7992	2320
775	8001	2309
776	8011	2299
777	8021	2288
778	8029	2278
779	8039	2267
780	8048	2256
781	8059	2246
782	8068	2236
783	8077	2225
784	8086	2214
785	8095	2204
786	8105	2193
787	8115	2183
788	8124	2172
789	8133	2162
790	8142	2151
791	8150	2140
792	8160	2130
793	8168	2119
794	8177	2108
795	8189	2098
796	8199	2088
797	8208	2077
798	8218	2067
799	8227	2056
800	8236	2046
801	8245	2035
802	8254	2025
803	8263	2014
804	8273	2004
805	8282	1993
806	8292	1983
807	8302	1972
808	8313	1962
809	8322	1952
810	8332	1941
811	8342	1931
812	8352	1921
813	8362	1910
814	8372	1900
815	8381	1889
816	8390	1879
817	8402	1869
818	8412	1859
819	8421	1848
820	8429	1837
821	8439	1827
822	8447	1816
823	8456	1806
824	8465	1795
825	8474	1785
826	8483	1774
827	8493	1764
828	8502	1753
829	8512	1743
830	8521	1732
831	8530	1722
832	8539	1712
833	8549	1701
834	8558	1691
835	8568	1680
836	8577	1670
837	8587	1660
838	8597	1649
839	8607	1639
840	8616	1629
841	8625	1618
842	8634	1608
843	8642	1597
844	8654	1587
845	8666	1577
846	8678	1567
847	8689	1557
848	8699	1547
849	8708	1536
850	8718	1526
851	8727	1516
852	8736	1505
853	8746	1495
854	8756	1484
855	8765	1474
856	8774	1464
857	8783	1453
858	8793	1443
859	8804	1433
860	8815	1423
861	8823	1412
862	8833	1402
863	8842	1391
864	8852	1381
865	8861	1371
866	8870	1360
867	8883	1350
868	8894	1340
869	8905	1330
870	8914	1320
871	8925	1310
872	8934	1299
873	8945	1289
874	8953	1279
875	8962	1268
876	8971	1258
877	8981	1247
878	8990	1237
879	9000	1227
880	9010	1217
881	9018	1206
882	9029	1196
883	9038	1186
884	9048	1175
885	9058	1165
886	9068	1155
887	9077	1144
888	9087	1134
889	9097	1124
890	9106	1114
891	9115	1103
892	9124	1093
893	9133	1082
894	9144	1072
895	9152	1062
896	9162	1052
897	9171	1041
898	9183	1031
899	9201	1022
900	9214	1012
901	9225	1002
902	9234	991
903	9243	981
904	9254	971
905	9264	961
906	9274	950
907	9283	940
908	9293	930
909	9303	920
910	9314	909
911	9326	899
912	9337	889
913	9348	879
914	9361	869
915	9374	859
916	9387	849
917	9399	839
918	9410	829
919	9421	819
920	9433	809
921	9444	798
922	9455	788
923	9468	778
924	9480	768
925	9492	758
926	9503	748
927	9514	738
928	9525	728
929	9536	717
930	9546	707
931	9554	697
932	9565	686
933	9575	676
934	9584	666
935	9593	655
936	9603	645
937	9612	635
938	9621	625
939	9631	614
940	9640	604
941	9649	594
942	9658	583
943	9669	573
944	9679	563
945	9689	553
946	9698	542
947	9707	532
948	9716	522
949	9724	511
950	9733	501
951	9742	491
952	9752	480
953	9762	470
954	9772	460
955	9781	450
956	9790	439
957	9799	429
958	9807	419
959	9816	409
960	9825	398
961	9834	388
962	9843	378
963	9852	367
964	9864	357
965	9875	347
966	9885	337
967	9894	327
968	9903	316
969	9912	306
970	9921	296
971	9929	286
972	9938	275
973	9947	265
974	9956	255
975	9966	245
976	9976	234
977	9985	224
978	9994	214
979	10003	204
980	10012	193
981	10022	183
982	10031	173
983	10040	163
984	10050	153
985	10059	142
986	10069	132
987	10078	122
988	10089	112
989	10098	102
990	10108	91
991	10117	81
992	10126	71
993	10135	61
994	10144	50
995	10154	40
996	10163	30
997	10173	20
998	10182	10
999	10194	0
